sample_id,ipq,brand_enc
217392,0,0
209156,0,0
262333,0,0
295979,1,0
50604,0,0
184343,0,0
11241,5,0
17551,15,0
13187,0,0
55004,0,0
182180,6,0
104303,0,0
21764,0,0
70671,0,0
165919,7,0
261335,0,0
18662,0,0
72584,5,0
143166,0,0
186882,4,0
39645,0,0
159533,0,0
60187,0,0
170797,44,0
66314,74,0
51091,0,0
287788,250,0
164102,0,0
84407,0,0
222817,60,0
82351,0,0
146107,2,0
288989,0,0
237589,12,0
76467,0,0
140742,0,0
113002,0,0
233032,0,0
195259,3,0
62879,0,0
80530,0,0
137179,6,0
33905,19,0
133818,5,0
77796,24,0
36107,2,0
154665,0,0
37027,0,0
240232,0,0
245432,6,0
127312,0,0
171816,0,0
16997,0,0
240492,0,0
288383,1,0
13764,2,0
187870,8,0
11448,0,0
43719,0,0
232550,5,0
115910,8,0
60725,0,0
104621,30,0
22217,0,0
120241,0,0
216080,0,0
73501,0,0
214869,0,0
275959,5,0
267698,0,0
149544,3,0
176733,0,0
17129,93,0
269085,0,0
29960,6,0
93964,1,0
68575,0,0
243936,2,0
85054,8,0
220124,0,0
92050,0,0
160003,0,0
110326,0,0
143699,3,0
66426,0,0
297010,0,0
221734,12,0
57696,0,0
151150,0,0
17929,2,0
16136,0,0
221234,38,0
252779,0,0
269532,48,0
77067,0,0
289489,0,0
297033,0,0
79518,2,0
262905,0,0
231581,0,0
